NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Div_win_pct,Conf,Conf_win_pct,Non-Conf,Strk,Last 5,season,Home_wins,Home_losses,Home_ties,Road_wins,Road_losses,Road_ties,Div_wins,Div_losses,Div_ties,Conf_wins,Conf_losses,Conf_ties,Non-Conf_wins,Non-Conf_losses,Non-Conf_ties,Last 5_wins,Last 5_losses,Last 5_ties
Chicago Bears,6,10,0,0.375,335,397,-62,1 - 7 - 0,5 - 3 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,3 - 1 - 0,1L,1 - 4 - 0,2015,1,7,0,5,3,0,1,5,0,3,9,0,3,1,0,1,4,0
Miami Dolphins,6,10,0,0.375,310,389,-79,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2015,3,5,0,3,5,0,1,5,0,4,8,0,2,2,0,2,3,0
New York Giants,6,10,0,0.375,420,442,-22,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,3L,1 - 4 - 0,2015,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,1,4,0
Tampa Bay Buccaneers,6,10,0,0.375,342,417,-75,3 - 5 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,1 - 3 - 0,4L,1 - 4 - 0,2015,3,5,0,3,5,0,3,3,0,5,7,0,1,3,0,1,4,0
Detroit Lions,7,9,0,0.438,358,400,-42,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,3W,3 - 2 - 0,2015,4,4,0,3,5,0,3,3,0,6,6,0,1,3,0,3,2,0
Las Vegas Raiders,7,9,0,0.438,359,399,-40,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,0 - 4 - 0,1L,2 - 3 - 0,2015,3,5,0,4,4,0,3,3,0,7,5,0,0,4,0,2,3,0
Los Angeles Rams,7,9,0,0.438,280,330,-50,5 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 3 - 0,1L,3 - 2 - 0,2015,5,3,0,2,6,0,4,2,0,6,6,0,1,3,0,3,2,0
New Orleans Saints,7,9,0,0.438,408,476,-68,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,2 - 2 - 0,2W,3 - 2 - 0,2015,4,4,0,3,5,0,3,3,0,5,7,0,2,2,0,3,2,0
Philadelphia Eagles,7,9,0,0.438,377,430,-53,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,3 - 1 - 0,1W,3 - 2 - 0,2015,3,5,0,4,4,0,3,3,0,4,8,0,3,1,0,3,2,0
Atlanta Falcons,8,8,0,0.5,339,345,-6,4 - 4 - 0,4 - 4 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,3 - 1 - 0,1L,2 - 3 - 0,2015,4,4,0,4,4,0,1,5,0,5,7,0,3,1,0,2,3,0
Buffalo Bills,8,8,0,0.5,379,359,20,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,2W,3 - 2 - 0,2015,5,3,0,3,5,0,4,2,0,7,5,0,1,3,0,3,2,0
Indianapolis Colts,8,8,0,0.5,333,408,-75,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,2 - 2 - 0,2W,2 - 3 - 0,2015,4,4,0,4,4,0,4,2,0,6,6,0,2,2,0,2,3,0
Houston Texans,9,7,0,0.563,339,313,26,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,3W,3 - 2 - 0,2015,5,3,0,4,4,0,5,1,0,7,5,0,2,2,0,3,2,0
Washington Commanders,9,7,0,0.563,388,379,9,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,1 - 3 - 0,4W,4 - 1 - 0,2015,6,2,0,3,5,0,4,2,0,8,4,0,1,3,0,4,1,0
Green Bay Packers,10,6,0,0.625,368,323,45,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,2L,3 - 2 - 0,2015,5,3,0,5,3,0,3,3,0,7,5,0,3,1,0,3,2,0
New York Jets,10,6,0,0.625,387,314,73,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1L,4 - 1 - 0,2015,6,2,0,4,4,0,3,3,0,7,5,0,3,1,0,4,1,0
Pittsburgh Steelers,10,6,0,0.625,423,319,104,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1W,4 - 1 - 0,2015,6,2,0,4,4,0,3,3,0,7,5,0,3,1,0,4,1,0
Seattle Seahawks,10,6,0,0.625,423,277,146,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1W,4 - 1 - 0,2015,5,3,0,5,3,0,3,3,0,7,5,0,3,1,0,4,1,0
Kansas City Chiefs,11,5,0,0.688,405,287,118,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,1 - 3 - 0,10W,5 - 0 - 0,2015,6,2,0,5,3,0,5,1,0,10,2,0,1,3,0,5,0,0
Minnesota Vikings,11,5,0,0.688,365,302,63,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,3W,3 - 2 - 0,2015,6,2,0,5,3,0,5,1,0,8,4,0,3,1,0,3,2,0
Cincinnati Bengals,12,4,0,0.75,419,279,140,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,3 - 1 - 0,1W,3 - 2 - 0,2015,6,2,0,6,2,0,5,1,0,9,3,0,3,1,0,3,2,0
Denver Broncos,12,4,0,0.75,355,296,59,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,2W,3 - 2 - 0,2015,6,2,0,6,2,0,4,2,0,8,4,0,4,0,0,3,2,0
New England Patriots,12,4,0,0.75,465,315,150,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,2L,2 - 3 - 0,2015,7,1,0,5,3,0,4,2,0,9,3,0,3,1,0,2,3,0
Arizona Cardinals,13,3,0,0.813,489,313,176,6 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,3 - 1 - 0,1L,4 - 1 - 0,2015,6,2,0,7,1,0,4,2,0,10,2,0,3,1,0,4,1,0
Carolina Panthers,15,1,0,0.938,500,308,192,8 - 0 - 0,7 - 1 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,4 - 0 - 0,1W,4 - 1 - 0,2015,8,0,0,7,1,0,5,1,0,11,1,0,4,0,0,4,1,0
Cleveland Browns,1,15,0,0.063,264,452,-188,1 - 7 - 0,0 - 8 - 0,0 - 6 - 0,0.0,1 - 11 - 0,0.083,0 - 4 - 0,1L,1 - 4 - 0,2016,1,7,0,0,8,0,0,6,0,1,11,0,0,4,0,1,4,0
San Francisco 49ers,2,14,0,0.125,309,480,-171,1 - 7 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,1L,1 - 4 - 0,2016,1,7,0,1,7,0,2,4,0,2,10,0,0,4,0,1,4,0
Chicago Bears,3,13,0,0.188,279,399,-120,3 - 5 - 0,0 - 8 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,0 - 4 - 0,4L,1 - 4 - 0,2016,3,5,0,0,8,0,2,4,0,3,9,0,0,4,0,1,4,0
Jacksonville Jaguars,3,13,0,0.188,318,400,-82,2 - 6 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,1 - 3 - 0,1L,1 - 4 - 0,2016,2,6,0,1,7,0,2,4,0,2,10,0,1,3,0,1,4,0
Los Angeles Rams,4,12,0,0.25,224,394,-170,1 - 7 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,7L,0 - 5 - 0,2016,1,7,0,3,5,0,2,4,0,3,9,0,1,3,0,0,5,0
Los Angeles Chargers,5,11,0,0.313,410,423,-13,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,5L,0 - 5 - 0,2016,3,5,0,2,6,0,1,5,0,4,8,0,1,3,0,0,5,0
New York Jets,5,11,0,0.313,275,409,-134,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,1W,2 - 3 - 0,2016,2,6,0,3,5,0,2,4,0,4,8,0,1,3,0,2,3,0
Carolina Panthers,6,10,0,0.375,369,402,-33,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,1 - 3 - 0,2L,2 - 3 - 0,2016,4,4,0,2,6,0,1,5,0,5,7,0,1,3,0,2,3,0
Cincinnati Bengals,6,9,1,0.406,325,315,10,4 - 3 - 1,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,1 - 2 - 1,1W,3 - 2 - 0,2016,4,3,1,2,6,0,3,3,0,5,7,0,1,2,1,3,2,0
Arizona Cardinals,7,8,1,0.469,418,362,56,4 - 3 - 1,3 - 5 - 0,4 - 1 - 1,0.75,6 - 5 - 1,0.542,1 - 3 - 0,2W,3 - 2 - 0,2016,4,3,1,3,5,0,4,1,1,6,5,1,1,3,0,3,2,0
Buffalo Bills,7,9,0,0.438,399,378,21,4 - 4 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,3 - 1 - 0,2L,1 - 4 - 0,2016,4,4,0,3,5,0,1,5,0,4,8,0,3,1,0,1,4,0
New Orleans Saints,7,9,0,0.438,469,454,15,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,1 - 3 - 0,1L,2 - 3 - 0,2016,4,4,0,3,5,0,2,4,0,6,6,0,1,3,0,2,3,0
Philadelphia Eagles,7,9,0,0.438,367,331,36,6 - 2 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,2W,2 - 3 - 0,2016,6,2,0,1,7,0,2,4,0,5,7,0,2,2,0,2,3,0
Baltimore Ravens,8,8,0,0.5,343,321,22,6 - 2 - 0,2 - 6 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,2L,2 - 3 - 0,2016,6,2,0,2,6,0,4,2,0,7,5,0,1,3,0,2,3,0
Indianapolis Colts,8,8,0,0.5,411,392,19,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 1 - 0,1W,3 - 2 - 0,2016,4,4,0,4,4,0,3,3,0,5,7,0,3,1,0,3,2,0
Minnesota Vikings,8,8,0,0.5,327,307,20,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,1W,2 - 3 - 0,2016,5,3,0,3,5,0,2,4,0,5,7,0,3,1,0,2,3,0
Washington Commanders,8,7,1,0.531,396,383,13,4 - 4 - 0,4 - 3 - 1,3 - 3 - 0,0.5,6 - 6 - 0,0.5,2 - 1 - 1,1L,2 - 3 - 0,2016,4,4,0,4,3,1,3,3,0,6,6,0,2,1,1,2,3,0
Denver Broncos,9,7,0,0.563,333,297,36,5 - 3 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,3 - 1 - 0,1W,2 - 3 - 0,2016,5,3,0,4,4,0,2,4,0,6,6,0,3,1,0,2,3,0
Detroit Lions,9,7,0,0.563,346,358,-12,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,3L,2 - 3 - 0,2016,6,2,0,3,5,0,3,3,0,7,5,0,2,2,0,2,3,0
Houston Texans,9,7,0,0.563,279,328,-49,7 - 1 - 0,2 - 6 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0,2016,7,1,0,2,6,0,5,1,0,7,5,0,2,2,0,3,2,0
Tampa Bay Buccaneers,9,7,0,0.563,354,369,-15,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0,2016,4,4,0,5,3,0,4,2,0,7,5,0,2,2,0,3,2,0
Tennessee Titans,9,7,0,0.563,381,378,3,5 - 3 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,3 - 1 - 0,1W,4 - 1 - 0,2016,5,3,0,4,4,0,2,4,0,6,6,0,3,1,0,4,1,0
Green Bay Packers,10,6,0,0.625,432,388,44,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,6W,5 - 0 - 0,2016,6,2,0,4,4,0,5,1,0,8,4,0,2,2,0,5,0,0
Miami Dolphins,10,6,0,0.625,363,380,-17,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0,2016,6,2,0,4,4,0,4,2,0,7,5,0,3,1,0,3,2,0
Seattle Seahawks,10,5,1,0.656,354,292,62,7 - 1 - 0,3 - 4 - 1,3 - 2 - 1,0.583,6 - 5 - 1,0.542,4 - 0 - 0,1W,3 - 2 - 0,2016,7,1,0,3,4,1,3,2,1,6,5,1,4,0,0,3,2,0
Atlanta Falcons,11,5,0,0.688,540,406,134,5 - 3 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,2 - 2 - 0,4W,4 - 1 - 0,2016,5,3,0,6,2,0,5,1,0,9,3,0,2,2,0,4,1,0
New York Giants,11,5,0,0.688,310,284,26,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1W,3 - 2 - 0,2016,7,1,0,4,4,0,4,2,0,8,4,0,3,1,0,3,2,0
Pittsburgh Steelers,11,5,0,0.688,399,327,72,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,2 - 2 - 0,7W,5 - 0 - 0,2016,6,2,0,5,3,0,5,1,0,9,3,0,2,2,0,5,0,0
Kansas City Chiefs,12,4,0,0.75,389,311,78,6 - 2 - 0,6 - 2 - 0,6 - 0 - 0,1.0,9 - 3 - 0,0.75,3 - 1 - 0,2W,4 - 1 - 0,2016,6,2,0,6,2,0,6,0,0,9,3,0,3,1,0,4,1,0
Las Vegas Raiders,12,4,0,0.75,416,385,31,6 - 2 - 0,6 - 2 - 0,3 - 3 - 0,0.5,9 - 3 - 0,0.75,3 - 1 - 0,1L,3 - 2 - 0,2016,6,2,0,6,2,0,3,3,0,9,3,0,3,1,0,3,2,0
Dallas Cowboys,13,3,0,0.813,421,306,115,7 - 1 - 0,6 - 2 - 0,3 - 3 - 0,0.5,9 - 3 - 0,0.75,4 - 0 - 0,1L,3 - 2 - 0,2016,7,1,0,6,2,0,3,3,0,9,3,0,4,0,0,3,2,0
New England Patriots,14,2,0,0.875,441,250,191,6 - 2 - 0,8 - 0 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,3 - 1 - 0,7W,5 - 0 - 0,2016,6,2,0,8,0,0,5,1,0,11,1,0,3,1,0,5,0,0
Cleveland Browns,0,16,0,0.0,234,410,-176,0 - 8 - 0,0 - 8 - 0,0 - 6 - 0,0.0,0 - 12 - 0,0.0,0 - 4 - 0,16L,0 - 5 - 0,2017,0,8,0,0,8,0,0,6,0,0,12,0,0,4,0,0,5,0
New York Giants,3,13,0,0.188,246,388,-142,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,2 - 2 - 0,1W,1 - 4 - 0,2017,2,6,0,1,7,0,1,5,0,1,11,0,2,2,0,1,4,0
Houston Texans,4,12,0,0.25,338,436,-98,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 3 - 0,6L,0 - 5 - 0,2017,3,5,0,1,7,0,1,5,0,3,9,0,1,3,0,0,5,0
Indianapolis Colts,4,12,0,0.25,263,404,-141,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,1W,1 - 4 - 0,2017,3,5,0,1,7,0,2,4,0,3,9,0,1,3,0,1,4,0
Chicago Bears,5,11,0,0.313,264,320,-56,3 - 5 - 0,2 - 6 - 0,0 - 6 - 0,0.0,1 - 11 - 0,0.083,4 - 0 - 0,1L,2 - 3 - 0,2017,3,5,0,2,6,0,0,6,0,1,11,0,4,0,0,2,3,0
Denver Broncos,5,11,0,0.313,289,382,-93,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2L,2 - 3 - 0,2017,4,4,0,1,7,0,2,4,0,4,8,0,1,3,0,2,3,0
New York Jets,5,11,0,0.313,298,382,-84,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,4L,1 - 4 - 0,2017,4,4,0,1,7,0,2,4,0,5,7,0,0,4,0,1,4,0
Tampa Bay Buccaneers,5,11,0,0.313,335,382,-47,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,2 - 2 - 0,1W,1 - 4 - 0,2017,4,4,0,1,7,0,1,5,0,3,9,0,2,2,0,1,4,0
Las Vegas Raiders,6,10,0,0.375,301,373,-72,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,4L,1 - 4 - 0,2017,4,4,0,2,6,0,2,4,0,5,7,0,1,3,0,1,4,0
Miami Dolphins,6,10,0,0.375,281,393,-112,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,3L,2 - 3 - 0,2017,4,4,0,2,6,0,2,4,0,5,7,0,1,3,0,2,3,0
San Francisco 49ers,6,10,0,0.375,331,383,-52,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,3 - 1 - 0,5W,5 - 0 - 0,2017,3,5,0,3,5,0,1,5,0,3,9,0,3,1,0,5,0,0
Cincinnati Bengals,7,9,0,0.438,290,349,-59,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,2W,2 - 3 - 0,2017,4,4,0,3,5,0,3,3,0,6,6,0,1,3,0,2,3,0
Green Bay Packers,7,9,0,0.438,320,384,-64,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3L,2 - 3 - 0,2017,4,4,0,3,5,0,2,4,0,5,7,0,2,2,0,2,3,0
Washington Commanders,7,9,0,0.438,342,388,-46,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0,2017,5,3,0,2,6,0,1,5,0,5,7,0,2,2,0,2,3,0
Arizona Cardinals,8,8,0,0.5,295,361,-66,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 1 - 0,2W,3 - 2 - 0,2017,5,3,0,3,5,0,3,3,0,5,7,0,3,1,0,3,2,0
Baltimore Ravens,9,7,0,0.563,395,303,92,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0,2017,5,3,0,4,4,0,3,3,0,7,5,0,2,2,0,3,2,0
Buffalo Bills,9,7,0,0.563,302,359,-57,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0,2017,6,2,0,3,5,0,3,3,0,7,5,0,2,2,0,3,2,0
Dallas Cowboys,9,7,0,0.563,354,332,22,3 - 5 - 0,6 - 2 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,1W,4 - 1 - 0,2017,3,5,0,6,2,0,5,1,0,7,5,0,2,2,0,4,1,0
Detroit Lions,9,7,0,0.563,410,376,34,4 - 4 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,3 - 2 - 0,2017,4,4,0,5,3,0,5,1,0,8,4,0,1,3,0,3,2,0
Los Angeles Chargers,9,7,0,0.563,355,272,83,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,3 - 1 - 0,2W,4 - 1 - 0,2017,5,3,0,4,4,0,3,3,0,6,6,0,3,1,0,4,1,0
Seattle Seahawks,9,7,0,0.563,366,332,34,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0,2017,4,4,0,5,3,0,4,2,0,7,5,0,2,2,0,2,3,0
Tennessee Titans,9,7,0,0.563,334,356,-22,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,2 - 3 - 0,2017,6,2,0,3,5,0,5,1,0,8,4,0,1,3,0,2,3,0
Atlanta Falcons,10,6,0,0.625,353,315,38,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,1W,3 - 2 - 0,2017,5,3,0,5,3,0,4,2,0,9,3,0,1,3,0,3,2,0
Jacksonville Jaguars,10,6,0,0.625,417,268,149,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,2L,3 - 2 - 0,2017,6,2,0,4,4,0,4,2,0,9,3,0,1,3,0,3,2,0
Kansas City Chiefs,10,6,0,0.625,415,339,76,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,4W,4 - 1 - 0,2017,6,2,0,4,4,0,5,1,0,8,4,0,2,2,0,4,1,0
Carolina Panthers,11,5,0,0.688,363,327,36,6 - 2 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0,2017,6,2,0,5,3,0,3,3,0,7,5,0,4,0,0,3,2,0
Los Angeles Rams,11,5,0,0.688,478,329,149,4 - 4 - 0,7 - 1 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0,2017,4,4,0,7,1,0,4,2,0,7,5,0,4,0,0,3,2,0
New Orleans Saints,11,5,0,0.688,448,326,122,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0,2017,7,1,0,4,4,0,4,2,0,8,4,0,3,1,0,3,2,0
Minnesota Vikings,13,3,0,0.813,382,252,130,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0,2017,7,1,0,6,2,0,5,1,0,10,2,0,3,1,0,4,1,0
New England Patriots,13,3,0,0.813,458,296,162,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0,2017,6,2,0,7,1,0,5,1,0,10,2,0,3,1,0,4,1,0
Philadelphia Eagles,13,3,0,0.813,457,295,162,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,1L,3 - 2 - 0,2017,7,1,0,6,2,0,5,1,0,10,2,0,3,1,0,3,2,0
Pittsburgh Steelers,13,3,0,0.813,406,308,98,6 - 2 - 0,7 - 1 - 0,6 - 0 - 0,1.0,10 - 2 - 0,0.833,3 - 1 - 0,2W,4 - 1 - 0,2017,6,2,0,7,1,0,6,0,0,10,2,0,3,1,0,4,1,0
Arizona Cardinals,3,13,0,0.188,225,425,-200,1 - 7 - 0,2 - 6 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,0 - 4 - 0,4L,1 - 4 - 0,2018,1,7,0,2,6,0,2,4,0,3,9,0,0,4,0,1,4,0
Las Vegas Raiders,4,12,0,0.25,290,467,-177,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 3 - 0,1L,2 - 3 - 0,2018,3,5,0,1,7,0,1,5,0,3,9,0,1,3,0,2,3,0
New York Jets,4,12,0,0.25,333,441,-108,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 3 - 0,3L,1 - 4 - 0,2018,2,6,0,2,6,0,1,5,0,3,9,0,1,3,0,1,4,0
San Francisco 49ers,4,12,0,0.25,342,435,-93,4 - 4 - 0,0 - 8 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,2L,2 - 3 - 0,2018,4,4,0,0,8,0,1,5,0,2,10,0,2,2,0,2,3,0
Jacksonville Jaguars,5,11,0,0.313,245,316,-71,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,1L,2 - 3 - 0,2018,3,5,0,2,6,0,1,5,0,4,8,0,1,3,0,2,3,0
New York Giants,5,11,0,0.313,369,412,-43,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,3L,2 - 3 - 0,2018,2,6,0,3,5,0,1,5,0,4,8,0,1,3,0,2,3,0
Tampa Bay Buccaneers,5,11,0,0.313,396,464,-68,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0,2018,4,4,0,1,7,0,2,4,0,4,8,0,1,3,0,1,4,0
Buffalo Bills,6,10,0,0.375,269,374,-105,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2018,4,4,0,2,6,0,2,4,0,4,8,0,2,2,0,2,3,0
Cincinnati Bengals,6,10,0,0.375,368,455,-87,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,2L,1 - 4 - 0,2018,4,4,0,2,6,0,1,5,0,4,8,0,2,2,0,1,4,0
Denver Broncos,6,10,0,0.375,329,349,-20,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,4L,1 - 4 - 0,2018,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,1,4,0
Detroit Lions,6,10,0,0.375,324,360,-36,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2018,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,2,3,0
Green Bay Packers,6,9,1,0.406,376,400,-24,5 - 2 - 1,1 - 7 - 0,1 - 4 - 1,0.25,3 - 8 - 1,0.292,3 - 1 - 0,1L,2 - 3 - 0,2018,5,2,1,1,7,0,1,4,1,3,8,1,3,1,0,2,3,0
