,cap_hit_per_player_prop,cap_hit_sum,player_count,position_level_one_cap_hit_prop,position_level_one_player_count_prop
count,448.0,448.0,448.0,448.0,448.0
mean,0.978855205820719,57013165.76785714,25.587053571428573,0.4652441516225908,0.47558051624066344
std,0.17310732421480854,16746007.464365536,1.7764334166876539,0.0836276950553045,0.024820199517938995
min,0.3757807510225129,20188288.0,20.0,0.1559844626885902,0.3818181818181818
25%,0.8561206079694741,45383525.75,24.0,0.40528978613299205,0.4615384615384615
median,0.9749665408166666,54735228.5,25.0,0.464984704407607,0.4716981132075472
75%,1.092351640486564,67397583.75,26.25,0.5245042867794896,0.490566037735849
max,1.4915474246736526,127747535.0,33.0,0.7181524637317588,0.5660377358490566
variance,0.02996614569681084,280428765996586.25,3.155715683924572,0.006993591380263,0.0006160423041102991
