,cluster,position_level_one,count,cap_hit_per_player_prop_active,cap_hit_per_player_prop_inactive,player_count_active,player_count_inactive,position_level_one_player_count_prop_active,position_level_one_player_count_prop_inactive,position_level_one_cap_hit_prop_active,position_level_one_cap_hit_prop_inactive,pct,div_win_pct,conf_win_pct,w,l,pf,pa,net_pts
0,0,special_team,355,0.6234658765661818,0.5576201919518621,3.0028169014084507,2.5887323943661973,0.05666145800011479,0.03006105833886532,0.03532590885534308,0.01896200893960427,0.5040788732394367,0.4983718309859155,0.5027943661971831,8.183098591549296,8.053521126760563,370.4507042253521,370.3830985915493,0.0676056338028169
1,1,defense,112,0.9591707809238091,1.0241439405349246,25.75,37.464285714285715,0.4782617998255558,0.46459999581667966,0.4579741598134003,0.47031746720730344,0.5120267857142857,0.5126517857142857,0.5107857142857143,8.348214285714286,7.973214285714286,378.50892857142856,374.57142857142856,3.9375
2,1,offense,121,0.9851556787070243,1.055894809680145,25.239669421487605,39.05785123966942,0.467852289135921,0.5069590775976166,0.4600783862519799,0.5362325878207632,0.5094214876033057,0.512396694214876,0.5106859504132232,8.272727272727273,7.983471074380165,365.1652892561983,361.6115702479339,3.553719008264463
3,2,defense,40,1.2821118674908392,0.7481390260847328,26.025,35.6,0.481375790352344,0.4395492109946109,0.6154686984003559,0.3318553528844514,0.47585,0.4542,0.466575,7.725,8.525,347.65,357.55,-9.9
4,2,offense,70,1.3155601576484899,0.8422926486848036,25.185714285714287,41.17142857142857,0.4727059571136803,0.4913621296332651,0.6209670375552849,0.412175894625905,0.5162571428571429,0.5417000000000001,0.5196428571428572,8.342857142857143,7.8,383.24285714285713,376.98571428571427,6.257142857142857
5,3,defense,25,0.6439888408426212,1.24223114676594,24.84,49.28,0.4668512395405301,0.4989875604128433,0.3013082634816586,0.613871648547254,0.49012,0.47672000000000003,0.47832,8.0,8.28,378.8,390.32,-11.52
6,3,offense,13,0.6655738225072819,1.2456428671612696,24.307692307692307,42.23076923076923,0.45245661640928314,0.5307147481838326,0.3010786447972805,0.6651390205826307,0.4575384615384615,0.44876923076923075,0.4357692307692308,7.384615384615385,8.76923076923077,335.38461538461536,358.84615384615387,-23.46153846153846
7,4,defense,130,0.8337095427233008,1.1351722934427206,25.26923076923077,36.261538461538464,0.46979929552506705,0.4778099239399843,0.3908564628950853,0.5361528786921805,0.5010461538461538,0.5064230769230769,0.5054,8.107692307692307,8.069230769230769,379.33846153846156,379.67692307692306,-0.3384615384615385
8,4,offense,70,0.8510905379633387,1.1299389802709185,24.957142857142856,40.02857142857143,0.4632725048389395,0.5344571731817094,0.39320800621394525,0.6027466687503521,0.4677428571428571,0.45949999999999996,0.4636571428571429,7.5285714285714285,8.6,345.57142857142856,360.0285714285714,-14.457142857142857
9,5,defense,83,1.0772092389385268,0.9663716938237845,26.57831325301205,34.57831325301205,0.4957936324217163,0.44520489639578803,0.5330833429060741,0.4322884181010031,0.5050963855421687,0.5140722891566265,0.5090722891566265,8.168674698795181,8.036144578313253,363.66265060240966,363.7951807228916,-0.13253012048192772
10,5,offense,86,1.1259350725323218,0.9623157210877916,26.53488372093023,35.02325581395349,0.4861974434447346,0.48086284399098445,0.5464052886922792,0.4556851741510193,0.5014302325581395,0.48450000000000004,0.49654651162790703,8.151162790697674,8.116279069767442,382.22093023255815,379.06976744186045,3.1511627906976742
11,6,defense,58,1.1366414075446487,0.9343656559090521,24.586206896551722,32.741379310344826,0.454200985922186,0.4548727940975361,0.5159924459861882,0.42664588535327946,0.48987931034482757,0.48270689655172416,0.4870344827586207,7.913793103448276,8.241379310344827,357.63793103448273,352.5,5.137931034482759
12,6,offense,88,1.1514187967456562,0.9898037904025082,24.181818181818183,43.14772727272727,0.45302841101054037,0.5090036157359833,0.5212129652712792,0.496001861223283,0.5058522727272727,0.50475,0.5118181818181818,8.25,8.056818181818182,381.5568181818182,379.53409090909093,2.022727272727273
13,7,special_team,93,0.7255479580622911,0.5193226889008976,3.118279569892473,2.4301075268817205,0.05521586552168559,0.0386165016847617,0.03867275779917835,0.024021852606935665,0.48556989247311827,0.506247311827957,0.4896774193548387,7.849462365591398,8.344086021505376,370.96774193548384,371.2258064516129,-0.25806451612903225
