,cap_hit_per_player_prop,cap_hit_sum,player_count,position_level_one_cap_hit_prop,position_level_one_player_count_prop
count,448.0,448.0,448.0,448.0,448.0
mean,0.6446570229481866,4284690.366071428,3.0267857142857144,0.03602067883698745,0.05636136849008374
std,0.3110553090329551,1980218.7179152386,0.34001767103891606,0.017238287349303678,0.006557562928844106
min,0.1358396757548753,1038111.0,2.0,0.0076890382502759,0.0298507462686567
25%,0.4163483609645311,2719174.75,3.0,0.022957207987564177,0.0555555555555555
median,0.6033145932140624,4028641.5,3.0,0.0339423864150562,0.0566037735849056
75%,0.8153119695629962,5507501.0,3.0,0.04536801151062265,0.0566037735849056
max,2.6417555784359346,10764167.0,6.0,0.1320877789217967,0.1071428571428571
variance,0.09675540527758718,3921266170781.8716,0.11561201661872855,0.0002971585507371632,4.300163156575049e-05
