,cluster,team,season,count,cap_hit_per_player_prop_active_offense,cap_hit_per_player_prop_active_defense,cap_hit_per_player_prop_active_special_team,delta_cap_hit_per_player_prop_offense,delta_cap_hit_per_player_prop_defense,delta_cap_hit_per_player_prop_special_team,ratio_cap_hit_per_player_prop_offense,ratio_cap_hit_per_player_prop_defense,ratio_cap_hit_per_player_prop_special_team,log_ratio_cap_hit_per_player_prop_offense,log_ratio_cap_hit_per_player_prop_defense,log_ratio_cap_hit_per_player_prop_special_team,position_level_one_player_count_prop_active_offense,position_level_one_player_count_prop_active_defense,position_level_one_player_count_prop_active_special_team,delta_position_level_one_player_count_prop_offense,delta_position_level_one_player_count_prop_defense,delta_position_level_one_player_count_prop_special_team,ratio_position_level_one_player_count_prop_offense,ratio_position_level_one_player_count_prop_defense,ratio_position_level_one_player_count_prop_special_team,log_ratio_position_level_one_player_count_prop_offense,log_ratio_position_level_one_player_count_prop_defense,log_ratio_position_level_one_player_count_prop_special_team,position_level_one_cap_hit_prop_active_offense,position_level_one_cap_hit_prop_active_defense,position_level_one_cap_hit_prop_active_special_team,delta_position_level_one_cap_hit_prop_offense,delta_position_level_one_cap_hit_prop_defense,delta_position_level_one_cap_hit_prop_special_team,ratio_position_level_one_cap_hit_prop_offense,ratio_position_level_one_cap_hit_prop_defense,ratio_position_level_one_cap_hit_prop_special_team,log_ratio_position_level_one_cap_hit_prop_offense,log_ratio_position_level_one_cap_hit_prop_defense,log_ratio_position_level_one_cap_hit_prop_special_team,pct,div_win_pct,conf_win_pct,w,l,pf,pa,net_pts
0,0,arizona-cardinals,2019,1,1.1869118707227255,0.8669211386219727,0.5513915887941835,0.0632503406241322,-0.0328066535107937,0.4802495591067759,1.056288555442516,0.963536063536408,7.750465382440424,0.0547622437393371,-0.0371442086001636,2.047754704501008,0.4716981132075472,0.4716981132075472,0.0566037735849056,-0.0171907756813416,-0.0283018867924528,0.0454926624737945,0.964835076216418,0.9433943396264152,5.09388117333591,-0.0357959777266178,-0.058268788124223,1.628057716006623,0.5598640899635497,0.4089250653877229,0.0312108446487273,0.0105184530264597,-0.0409388306786602,0.0304203776522006,1.0191453852982522,0.9089952760559048,39.43417070540159,0.0189662046928079,-0.0954129362435289,3.674664756855629,0.344,0.167,0.292,5.0,10.0,361.0,442.0,-81.0
1,0,atlanta-falcons,2011,1,1.185731864571445,0.8775555942563095,0.4726045097687118,0.1981013820157613,-0.2760819884619255,0.4243724143531939,1.2005812750147848,0.7606850251042999,9.798345009735,0.1828066787184484,-0.2735347633229375,2.2822156107894878,0.4716981132075472,0.4716981132075472,0.0566037735849056,-0.0838574423480084,0.0828092243186582,0.0010482180293501,0.849055075474449,1.2129348864154137,1.0188495852357675,-0.1636291037824294,0.1930450687294178,0.0186917996847637,0.5593074832884175,0.413941318045429,0.0267511986661535,0.0106238818685931,-0.034695519678329,0.0240716378097358,1.0193606342170063,0.9226625202761144,9.979702047094792,0.0191773894813105,-0.0804893290447365,2.3005906156810174,0.625,0.5,0.583,10.0,6.0,402.0,350.0,52.0
2,0,atlanta-falcons,2012,1,1.2376466565881128,0.8104984190759683,0.5987910361326594,0.7364703299502265,-0.6413047491199328,0.5780364993906654,2.469478547425081,0.5582697975603296,28.849701338782683,0.9040078219340292,-0.5829116914726665,3.3621013107222373,0.4716981132075472,0.4716981132075472,0.0566037735849056,0.0716981132075471,-0.0783018867924528,0.0066037735849056,1.1792423349130308,0.8576313737748607,1.1320528306415003,0.1648742631911117,-0.1535787861107133,0.1240503153805891,0.5837955927302418,0.3823105750358341,0.0338938322339241,0.3833250620750873,-0.4161811674719117,0.0328561053968244,2.9121122127533936,0.4787902941173262,32.630168994729445,1.068880377118227,-0.7364899610998341,3.485266793170942,0.813,0.5,0.75,13.0,3.0,419.0,299.0,120.0
3,0,atlanta-falcons,2013,1,1.090746488552953,0.9277524259422624,0.7915110250029765,0.253302021878513,-0.320517739205703,0.7905398864395081,1.3024686764194815,0.7432298781269133,814.1956864451658,0.2642623623448878,-0.2967488124167126,6.70220200155461,0.490566037735849,0.4528301886792453,0.0566037735849056,-0.0173704702006588,-0.0074872716382149,0.0248577418388739,0.9657999853737316,0.9837324107465716,1.7829627045993337,-0.0347964822274349,-0.0163991508796558,0.5782940879543028,0.5350831830637127,0.4201143060870622,0.044802510849225,0.1097145650703464,-0.1544862461239058,0.0447716810535594,1.2579252500164633,0.7311402213769428,1407.565141788066,0.22946560567864,-0.3131476360168956,7.249638960781216,0.25,0.167,0.25,4.0,12.0,353.0,443.0,-90.0
4,0,atlanta-falcons,2015,1,1.3468448573421052,0.6812832831701745,0.7655988290643355,0.2864546122198543,-0.1444495904383845,-2.7966309994924425,1.270139548527515,0.8250639884650515,0.2149211732510086,0.2391275176401189,-0.1922928660622758,-1.5374826479574766,0.4716981132075472,0.4716981132075472,0.0566037735849056,-0.0174323215750615,-0.0174323215750615,0.034864643150123,0.9643586154244828,0.9643586154244828,2.6036538168300862,-0.0362899258498022,-0.0362899258498022,0.9569334391736634,0.6353041779915591,0.3213600392312143,0.0433357827772265,0.1166350363556755,-0.0825310402512329,-0.0341039961044425,1.2248713141416088,0.7956581858277821,0.5595990045947807,0.2028373628461758,-0.2285824883821709,-0.5805117396197951,0.5,0.167,0.417,8.0,8.0,339.0,345.0,-6.0
5,0,atlanta-falcons,2016,1,1.3567554126901342,0.6236408872462906,1.0379111296118906,0.2841268290011616,-0.3559835155293458,1.0014684700066196,1.2648871831634554,0.6366115920221018,28.479882120888217,0.2349836719846747,-0.451593951543018,3.349198910994615,0.4807692307692308,0.4615384615384615,0.0576923076923076,0.0363247863247863,-0.0717948717948717,0.0354700854700854,1.0817283353420148,0.8653829927915039,2.596037024487744,0.0785621525034703,-0.1445809371450303,0.9540033940525844,0.6522862561010261,0.2878342556521341,0.0598794882468398,0.1755624411281493,-0.234632092494872,0.0590696513667227,1.3682657911108276,0.5509133856363909,73.84899443423176,0.3135456251439152,-0.5961742028223075,4.302039092627503,0.688,0.833,0.75,11.0,5.0,540.0,406.0,134.0
6,0,atlanta-falcons,2017,1,1.1673015707844152,0.8439230179241717,0.798668909808363,0.0962070766116602,-0.1727983887361077,0.7792607918662028,1.0898202607844631,0.8300427062449449,41.14916052282343,0.0860136409572284,-0.1862769412665059,3.7172047785800846,0.490566037735849,0.4528301886792453,0.0566037735849056,0.0788013318534961,-0.096189419163892,0.0173880873103958,1.1913717697413355,0.8247963413581464,1.4433594207498652,0.1751074293612442,-0.1926165737510722,0.3669909941161007,0.5726385064225432,0.3821538194373607,0.045207674140096,0.1315995970572911,-0.1760461685329888,0.0444465714756975,1.2983825142869472,0.6846168811468673,59.31966420269684,0.2611210163050171,-0.3788932780370282,4.082962976370076,0.625,0.667,0.75,10.0,6.0,353.0,315.0,38.0
7,0,atlanta-falcons,2019,1,1.1779256272240624,0.9043437088322268,0.1913427963443879,0.4771089780681619,-0.3992568095003419,-1.0569292900076026,1.6807876180670027,0.6937271061090579,0.1532860064327564,0.519263352780927,-0.3656755088955176,-1.8754445533011777,0.5,0.4423076923076923,0.0576923076923076,0.0056179775280899,0.0378133102852203,-0.0434312878133102,1.0113615906549644,1.0934802026568495,0.5705071788307188,0.0112995325267065,0.0893677172715953,-0.5612121931742784,0.5889628136120312,0.3999981789065618,0.0110390074814069,0.2424916612203501,-0.1273009071605445,-0.1151907540598055,1.699884996662642,0.7585778752474097,0.0874510091409289,0.5305622976505213,-0.2763073153864077,-2.4365859541994968,0.438,0.667,0.5,7.0,9.0,381.0,399.0,-18.0
8,0,atlanta-falcons,2021,1,1.0978684389253717,0.9815498956348884,0.2729349193809211,-0.1454552367195296,0.0660283643878626,0.024921719464068,0.8830102550292563,1.0721198683094422,1.1004810187175684,-0.1244175537404146,0.069638892646733,0.0957510378346577,0.4909090909090909,0.4545454545454545,0.0545454545454545,0.0561264822134387,-0.0237154150197628,-0.0324110671936758,1.129088312187791,0.9504112359170026,0.6272655137193195,0.1214125407445694,-0.050858308142816,-0.4663670279637525,0.5389535972906369,0.4461590434704037,0.0148873592389593,-0.0016219138593202,0.0083009198305219,-0.0066790059712018,0.9969978091429318,1.018955685476017,0.6902725063488692,-0.003004851026545,0.0187805063983504,-0.3706016537960969,0.412,0.333,0.333,7.0,10.0,313.0,459.0,-146.0
9,0,atlanta-falcons,2023,1,1.169696472899576,0.8365011199546678,0.8917879019147771,0.689444579667096,-0.7592980158185659,0.8297770230766355,2.4355844376628286,0.5241891520139188,14.38092053689342,0.890187598125007,-0.6459014872169163,2.665903486669249,0.4814814814814814,0.4629629629629629,0.0555555555555555,0.0168350168350168,-0.0218855218855218,0.005050505050505,1.036229653911542,0.9548591417141312,1.0999782204312354,0.0355908698520255,-0.0461892849695805,0.0953083798383442,0.5631871906553514,0.3872690370160498,0.0495437723285987,0.3400398463251082,-0.386451756086124,0.0464119097610158,2.523824195719219,0.5005275028680871,15.814218230078035,0.925777064816972,-0.6920901487703164,2.7609296073239555,0.412,0.5,0.333,7.0,10.0,321.0,373.0,-52.0
