,pct,season,cap_hit_per_player_prop_active,position_level_one_cap_hit_prop_active,position_level_one_player_count_prop_active
pct,1.0,-5.794695230940693e-06,-0.041985338562776496,-0.037067513386619,0.018072627577730063
season,-5.794695230940693e-06,1.0,-0.10417838343594674,-0.06603246400631566,0.1074034180840872
cap_hit_per_player_prop_active,-0.041985338562776496,-0.10417838343594674,1.0,0.9538953098292379,-0.06538712209172597
position_level_one_cap_hit_prop_active,-0.037067513386619,-0.06603246400631566,0.9538953098292379,1.0,0.23189162188024673
position_level_one_player_count_prop_active,0.018072627577730063,0.1074034180840872,-0.06538712209172597,0.23189162188024673,1.0
