,cap_hit_per_player_prop,cap_hit_sum,player_count,position_level_one_cap_hit_prop,position_level_one_player_count_prop
count,365.0,365.0,365.0,365.0,365.0
mean,0.6746635019471083,998152.9397260274,3.136986301369863,0.024563138263026113,0.03907674073145213
std,0.9949960042265069,1244500.4177129555,2.338844627026831,0.0372025641070714,0.02556025691000068
min,0.0002836486322647,333.0,1.0,4.80760393669065e-06,0.0060975609756097
25%,0.0711420296874075,100000.0,1.0,0.0025838670518209,0.0208333333333333
median,0.3108512094302987,540000.0,2.0,0.0113650405720325,0.0327868852459016
75%,0.8606739515899449,1403000.0,4.0,0.0308101847551074,0.053763440860215
max,6.118845257516972,7144584.0,15.0,0.4107991578825869,0.1666666666666666
variance,0.9900170484267149,1548781289687.7207,5.470194189372275,0.0013840307761407574,0.0006533267333052375
