,Feature,Coefficient_lr_original,Coefficient_lr_standardized,Coefficient_ridge,Coefficient_lasso,Coefficient_elasticnet
0,Intercept,0.5016366666666667,,0.20715607107010686,0.5016366666666667,0.5016366666666667
1,num__cap_hit_prop_active,0.1279942133363071,0.6769796433594909,0.3030185647865893,0.07679979224536587,0.07004120964631899
2,num__cap_hit_per_player_prop_active,-0.012213828244505814,-0.06460067899549456,0.16206123128619312,0.028728087634215048,0.028495448659497068
3,num__player_count_prop_active,-0.06144933031549786,-0.32501426929638366,0.020625450997750937,-0.0,-0.0
4,num__ratio_cap_hit_per_player_prop,0.0013844027369904269,0.007322303459853608,0.13969507203066056,0.014160367806240349,0.01831085271970683
5,num__ratio_cap_hit_prop,0.01161877116926226,0.06145333728311222,0.013886713949975184,0.0,0.0
6,num__ratio_player_count_prop,-0.018130103443438714,-0.09589270204708726,-0.06648237212310068,-0.014414157394679824,-0.010905180362796049
