,position_level_one_count_prop,position_level_one_cap_hit_prop,pct
count,448.0,448.0,448.0
mean,0.4680581152692528,0.4987351695404217,0.5002366071428571
std,0.025093212954058138,0.08328328341249869,0.19132862273689122
min,0.3773584905660377,0.2430848971481383,0.0
25%,0.4528301886792453,0.4457369810291952,0.375
median,0.4716981132075472,0.4997934138478371,0.5
75%,0.4822967980295566,0.5555433505560801,0.647
max,0.5636363636363636,0.8311804683184688,0.938
variance,0.0006296693363577112,0.00693610529596658,0.03660664187839564
