,pct,season,cap_hit_per_player_prop_active,position_level_one_cap_hit_prop_active,position_level_one_player_count_prop_active
pct,1.0,-5.794695230940693e-06,0.07649003399656193,0.062103808016333056,-0.037680548210006014
season,-5.794695230940693e-06,1.0,0.12329826031768666,0.08835795560949629,-0.11160559131280878
cap_hit_per_player_prop_active,0.07649003399656193,0.12329826031768666,1.0,0.9483388196455664,-0.07566986839457565
position_level_one_cap_hit_prop_active,0.062103808016333056,0.08835795560949629,0.9483388196455664,1.0,0.23947782732287254
position_level_one_player_count_prop_active,-0.037680548210006014,-0.11160559131280878,-0.07566986839457565,0.23947782732287254,1.0
