,pct,season,cap_hit_per_player_prop_active,position_level_one_cap_hit_prop_active,position_level_one_player_count_prop_active
pct,0.0,0.9999024123970547,0.3753102471090491,0.4338335731201788,0.7028412504312477
season,0.9999024123970547,0.0,0.027462303745339287,0.16293675849208994,0.022994212348583915
cap_hit_per_player_prop_active,0.3753102471090491,0.027462303745339287,0.0,3.0449444333556903e-235,0.16709552215378295
position_level_one_cap_hit_prop_active,0.4338335731201788,0.16293675849208994,3.0449444333556903e-235,0.0,6.966015932548081e-07
position_level_one_player_count_prop_active,0.7028412504312477,0.022994212348583915,0.16709552215378295,6.966015932548081e-07,0.0
