,position_level_one_count_prop,position_level_one_cap_hit_prop,pct
count,448.0,448.0,448.0
mean,0.5049000314302251,0.5076174522206721,0.5002366071428571
std,0.06687102631360278,0.17008061704495414,0.19132862273689122
min,0.2222222222222222,0.0565450541906459,0.0
25%,0.4658701743462017,0.39173793011266894,0.375
median,0.5065800865800866,0.5031365157480554,0.5
75%,0.5469083867521367,0.6233757927661988,0.647
max,0.7666666666666667,0.8957344220562516,0.938
variance,0.0044717341602345554,0.02892741629439234,0.03660664187839564
